RUN	uk.gov.hmcts.reform.LandA.performance.simulations.mainSimulation	mainsimulation	1645190194505	 	3.3.1
USER	LAU Simulation	1	START	1645190196517	1645190196517
GROUP	3	LAU_080_LogonAuditSearch	1645192311829	1645192312405	566	OK
REQUEST	3	LAU_090_LogonAuditPage2	LAU Logon Audit Page 2	1645192317401	1645192317713	OK	 
REQUEST	3	LAU_090_LogonAuditPage2	LAU Logon Audit Page 2 Redirect 1	1645192317713	1645192317784	OK	 
GROUP	3	LAU_090_LogonAuditPage2	1645192317400	1645192318085	681	OK
REQUEST	3	LAU_100_LogonActivityDownload	Logon Activity CSV Download	1645192323088	1645192323186	OK	 
GROUP	3	LAU_100_LogonActivityDownload	1645192323088	1645192323187	98	OK
REQUEST	3	LAU_040_CaseAuditSearch	LAU Case Audit Search	1645192328180	1645192328784	OK	 
REQUEST	3	LAU_040_CaseAuditSearch	LAU Case Audit Search Redirect 1	1645192328784	1645192328895	OK	 
GROUP	3	LAU_040_CaseAuditSearch	1645192328179	1645192329255	982	OK
REQUEST	3	LAU_050_CaseAuditPage2	LAU Case Audit Page 2	1645192334260	1645192334633	OK	 
REQUEST	3	LAU_050_CaseAuditPage2	LAU Case Audit Page 2 Redirect 1	1645192334634	1645192334713	OK	 
GROUP	3	LAU_050_CaseAuditPage2	1645192334260	1645192335032	708	OK
REQUEST	3	LAU_060_CaseActivityDownload	Case Activity CSV Download	1645192340029	1645192340367	OK	 
GROUP	3	LAU_060_CaseActivityDownload	1645192340028	1645192340382	338	OK
REQUEST	3	LAU_070_CaseSearchDownload	Case Search CSV Download	1645192345369	1645192345903	OK	 
GROUP	3	LAU_070_CaseSearchDownload	1645192345369	1645192345923	534	OK
REQUEST	3	LAU_080_LogonAuditSearch	LAU Logon Audit Search	1645192350909	1645192351316	OK	 
REQUEST	3	LAU_080_LogonAuditSearch	LAU Logon Audit Search Redirect 1	1645192351317	1645192351391	OK	 
GROUP	3	LAU_080_LogonAuditSearch	1645192350908	1645192352128	808	OK
REQUEST	3	LAU_090_LogonAuditPage2	LAU Logon Audit Page 2	1645192357119	1645192357532	OK	 
REQUEST	3	LAU_090_LogonAuditPage2	LAU Logon Audit Page 2 Redirect 1	1645192357532	1645192357647	OK	 
GROUP	3	LAU_090_LogonAuditPage2	1645192357118	1645192358032	855	OK
